"Nation","RCP","Begining","Mid_Century","The_End_Century"
"Alaska","High_Emission","60.78 (1.77)","61.2 (6.07)","62.76 (11.12)"
"Alaska","Low_Emission","61.4 (0.88)","61.42 (5.03)","63.32 (2.98)"
"Can E","High_Emission","88.87 (1.56)","91.41 (0.97)","93.39 (0.9)"
"Can E","Low_Emission","88.85 (1.05)","90.29 (1.2)","90.64 (1.37)"
"Can W","High_Emission","10.6 (1.5)","10.02 (0.93)","9.66 (2.33)"
"Can W","Low_Emission","10.63 (1.62)","11.03 (1.68)","11.04 (2.49)"
"USA E","High_Emission","11.13 (1.56)","8.59 (0.97)","6.61 (0.9)"
"USA E","Low_Emission","11.15 (1.05)","9.71 (1.2)","9.36 (1.37)"
"USA W","High_Emission","28.62 (2.6)","28.78 (6.94)","27.58 (11.85)"
"USA W","Low_Emission","27.96 (2.4)","27.55 (5.71)","25.65 (4.91)"
