"Species","Period","EEZ","Model","Variable","RCP","Value","Totals"
"Gadus morhua","Begining","Canada","Average","Future_Cost","High",2413815.73264793,NA
"Gadus morhua","Begining","Canada","Average","Future_Landings","High",1422.45562240822,NA
"Gadus morhua","Begining","Canada","Average","Future_Revenue","High",2799534.91046162,NA
"Gadus morhua","Begining","Canada","Average","Profit","High",385719.177813689,NA
"Gadus morhua","Begining","USA","Average","Future_Cost","High",589820.834721124,NA
"Gadus morhua","Begining","USA","Average","Future_Landings","High",294.464341432292,NA
"Gadus morhua","Begining","USA","Average","Future_Revenue","High",946717.580921892,NA
"Gadus morhua","Begining","USA","Average","Profit","High",356896.746200768,NA
"Gadus morhua","End Century","Canada","Average","Future_Cost","High",1797377.97959921,NA
"Gadus morhua","End Century","Canada","Average","Future_Landings","High",1059.19038396065,NA
"Gadus morhua","End Century","Canada","Average","Future_Revenue","High",2084592.59467296,NA
"Gadus morhua","End Century","Canada","Average","Profit","High",287214.61507375,NA
"Gadus morhua","End Century","USA","Average","Future_Cost","High",81697.2981892003,NA
"Gadus morhua","End Century","USA","Average","Future_Landings","High",40.7868621993575,NA
"Gadus morhua","End Century","USA","Average","Future_Revenue","High",131131.801314044,NA
"Gadus morhua","End Century","USA","Average","Profit","High",49434.503124844,NA
"Gadus morhua","Mid Century","Canada","Average","Future_Cost","High",2230423.87984638,NA
"Gadus morhua","Mid Century","Canada","Average","Future_Landings","High",1314.38325855994,NA
"Gadus morhua","Mid Century","Canada","Average","Future_Revenue","High",2586837.69117182,NA
"Gadus morhua","Mid Century","Canada","Average","Profit","High",356413.811325443,NA
"Gadus morhua","Mid Century","USA","Average","Future_Cost","High",292276.503193654,NA
"Gadus morhua","Mid Century","USA","Average","Future_Landings","High",145.917205637107,NA
"Gadus morhua","Mid Century","USA","Average","Future_Revenue","High",469131.111983582,NA
"Gadus morhua","Mid Century","USA","Average","Profit","High",176854.608789928,NA
"Gadus morhua","Begining",NA,"Average","Future_Cost","High",NA,3003636.56736906
"Gadus morhua","Begining",NA,"Average","Future_Landings","High",NA,1716.91996384051
"Gadus morhua","Begining",NA,"Average","Future_Revenue","High",NA,3746252.49138351
"Gadus morhua","Begining",NA,"Average","Profit","High",NA,742615.924014457
"Gadus morhua","End Century",NA,"Average","Future_Cost","High",NA,1879075.27778841
"Gadus morhua","End Century",NA,"Average","Future_Landings","High",NA,1099.97724616001
"Gadus morhua","End Century",NA,"Average","Future_Revenue","High",NA,2215724.39598701
"Gadus morhua","End Century",NA,"Average","Profit","High",NA,336649.118198594
"Gadus morhua","Mid Century",NA,"Average","Future_Cost","High",NA,2522700.38304004
"Gadus morhua","Mid Century",NA,"Average","Future_Landings","High",NA,1460.30046419705
"Gadus morhua","Mid Century",NA,"Average","Future_Revenue","High",NA,3055968.80315541
"Gadus morhua","Mid Century",NA,"Average","Profit","High",NA,533268.420115371
"Gadus morhua","Begining","Canada","Average","Future_Cost","Low",2413815.73264793,NA
"Gadus morhua","Begining","Canada","Average","Future_Landings","Low",1422.45562240822,NA
"Gadus morhua","Begining","Canada","Average","Future_Revenue","Low",2799534.91046162,NA
"Gadus morhua","Begining","Canada","Average","Profit","Low",385719.177813689,NA
"Gadus morhua","Begining","USA","Average","Future_Cost","Low",589820.834721124,NA
"Gadus morhua","Begining","USA","Average","Future_Landings","Low",294.464341432292,NA
"Gadus morhua","Begining","USA","Average","Future_Revenue","Low",946717.580921892,NA
"Gadus morhua","Begining","USA","Average","Profit","Low",356896.746200768,NA
"Gadus morhua","End Century","Canada","Average","Future_Cost","Low",2274060.0318539,NA
"Gadus morhua","End Century","Canada","Average","Future_Landings","Low",1340.09793467371,NA
"Gadus morhua","End Century","Canada","Average","Future_Revenue","Low",2637446.74523133,NA
"Gadus morhua","End Century","Canada","Average","Profit","Low",363386.713377427,NA
"Gadus morhua","End Century","USA","Average","Future_Cost","Low",269001.132740457,NA
"Gadus morhua","End Century","USA","Average","Future_Landings","Low",134.297123353419,NA
"Gadus morhua","End Century","USA","Average","Future_Revenue","Low",431771.96643741,NA
"Gadus morhua","End Century","USA","Average","Profit","Low",162770.833696953,NA
"Gadus morhua","Mid Century","Canada","Average","Future_Cost","Low",2259064.42476146,NA
"Gadus morhua","Mid Century","Canada","Average","Future_Landings","Low",1331.26106061925,NA
"Gadus morhua","Mid Century","Canada","Average","Future_Revenue","Low",2620054.89340476,NA
"Gadus morhua","Mid Century","Canada","Average","Profit","Low",360990.468643298,NA
"Gadus morhua","Mid Century","USA","Average","Future_Cost","Low",357611.304170117,NA
"Gadus morhua","Mid Century","USA","Average","Future_Landings","Low",178.535194032245,NA
"Gadus morhua","Mid Century","USA","Average","Future_Revenue","Low",573999.575573371,NA
"Gadus morhua","Mid Century","USA","Average","Profit","Low",216388.271403253,NA
"Gadus morhua","Begining",NA,"Average","Future_Cost","Low",NA,3003636.56736906
"Gadus morhua","Begining",NA,"Average","Future_Landings","Low",NA,1716.91996384051
"Gadus morhua","Begining",NA,"Average","Future_Revenue","Low",NA,3746252.49138351
"Gadus morhua","Begining",NA,"Average","Profit","Low",NA,742615.924014457
"Gadus morhua","End Century",NA,"Average","Future_Cost","Low",NA,2543061.16459436
"Gadus morhua","End Century",NA,"Average","Future_Landings","Low",NA,1474.39505802713
"Gadus morhua","End Century",NA,"Average","Future_Revenue","Low",NA,3069218.71166874
"Gadus morhua","End Century",NA,"Average","Profit","Low",NA,526157.54707438
"Gadus morhua","Mid Century",NA,"Average","Future_Cost","Low",NA,2616675.72893157
"Gadus morhua","Mid Century",NA,"Average","Future_Landings","Low",NA,1509.7962546515
"Gadus morhua","Mid Century",NA,"Average","Future_Revenue","Low",NA,3194054.46897813
"Gadus morhua","Mid Century",NA,"Average","Profit","Low",NA,577378.740046551
"Hippoglossus stenolepis","Begining","Canada","Average","Future_Cost","High",14569822.740213,NA
"Hippoglossus stenolepis","Begining","Canada","Average","Future_Landings","High",4353.7746439368,NA
"Hippoglossus stenolepis","Begining","Canada","Average","Future_Revenue","High",26368200.7535388,NA
"Hippoglossus stenolepis","Begining","Canada","Average","Profit","High",11798378.0133258,NA
"Hippoglossus stenolepis","Begining","USA","Average","Future_Cost","High",70728496.9280283,NA
"Hippoglossus stenolepis","Begining","USA","Average","Future_Landings","High",21135.1875736348,NA
"Hippoglossus stenolepis","Begining","USA","Average","Future_Revenue","High",127875282.136141,NA
"Hippoglossus stenolepis","Begining","USA","Average","Profit","High",57146785.208113,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Future_Cost","High",14226499.8606812,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Future_Landings","High",4251.18242478349,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Future_Revenue","High",25746861.2374587,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Profit","High",11520361.3767775,NA
"Hippoglossus stenolepis","End Century","USA","Average","Future_Cost","High",73846447.6558437,NA
"Hippoglossus stenolepis","End Century","USA","Average","Future_Landings","High",22066.8979356518,NA
"Hippoglossus stenolepis","End Century","USA","Average","Future_Revenue","High",133512455.924971,NA
"Hippoglossus stenolepis","End Century","USA","Average","Profit","High",59666008.269127,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Future_Cost","High",14517789.187409,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Future_Landings","High",4338.22590550179,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Future_Revenue","High",26274031.374081,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Profit","High",11756242.186672,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Future_Cost","High",70861839.7662928,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Future_Landings","High",21175.0332655514,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Future_Revenue","High",128116362.518229,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Profit","High",57254522.7519364,NA
"Hippoglossus stenolepis","Begining",NA,"Average","Future_Cost","High",NA,85298319.6682413
"Hippoglossus stenolepis","Begining",NA,"Average","Future_Landings","High",NA,25488.9622175716
"Hippoglossus stenolepis","Begining",NA,"Average","Future_Revenue","High",NA,154243482.88968
"Hippoglossus stenolepis","Begining",NA,"Average","Profit","High",NA,68945163.2214389
"Hippoglossus stenolepis","End Century",NA,"Average","Future_Cost","High",NA,88072947.5165249
"Hippoglossus stenolepis","End Century",NA,"Average","Future_Landings","High",NA,26318.0803604353
"Hippoglossus stenolepis","End Century",NA,"Average","Future_Revenue","High",NA,159259317.162429
"Hippoglossus stenolepis","End Century",NA,"Average","Profit","High",NA,71186369.6459046
"Hippoglossus stenolepis","Mid Century",NA,"Average","Future_Cost","High",NA,85379628.9537018
"Hippoglossus stenolepis","Mid Century",NA,"Average","Future_Landings","High",NA,25513.2591710532
"Hippoglossus stenolepis","Mid Century",NA,"Average","Future_Revenue","High",NA,154390393.89231
"Hippoglossus stenolepis","Mid Century",NA,"Average","Profit","High",NA,69010764.9386084
"Hippoglossus stenolepis","Begining","Canada","Average","Future_Cost","Low",14569822.740213,NA
"Hippoglossus stenolepis","Begining","Canada","Average","Future_Landings","Low",4353.7746439368,NA
"Hippoglossus stenolepis","Begining","Canada","Average","Future_Revenue","Low",26368200.7535388,NA
"Hippoglossus stenolepis","Begining","Canada","Average","Profit","Low",11798378.0133258,NA
"Hippoglossus stenolepis","Begining","USA","Average","Future_Cost","Low",70728496.9280283,NA
"Hippoglossus stenolepis","Begining","USA","Average","Future_Landings","Low",21135.1875736348,NA
"Hippoglossus stenolepis","Begining","USA","Average","Future_Revenue","Low",127875282.136141,NA
"Hippoglossus stenolepis","Begining","USA","Average","Profit","Low",57146785.208113,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Future_Cost","Low",14500627.1766577,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Future_Landings","Low",4333.09752964025,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Future_Revenue","Low",26242971.8785132,NA
"Hippoglossus stenolepis","End Century","Canada","Average","Profit","Low",11742344.7018555,NA
"Hippoglossus stenolepis","End Century","USA","Average","Future_Cost","Low",66644654.8432605,NA
"Hippoglossus stenolepis","End Century","USA","Average","Future_Landings","Low",19914.8482163528,NA
"Hippoglossus stenolepis","End Century","USA","Average","Future_Revenue","Low",120491801.90581,NA
"Hippoglossus stenolepis","End Century","USA","Average","Profit","Low",53847147.0625498,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Future_Cost","Low",14720865.6341293,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Future_Landings","Low",4398.90949103858,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Future_Revenue","Low",26641555.4415261,NA
"Hippoglossus stenolepis","Mid Century","Canada","Average","Profit","Low",11920689.8073968,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Future_Cost","Low",69311376.5531167,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Future_Landings","Low",20711.7216972335,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Future_Revenue","Low",125313165.370857,NA
"Hippoglossus stenolepis","Mid Century","USA","Average","Profit","Low",56001788.8177399,NA
"Hippoglossus stenolepis","Begining",NA,"Average","Future_Cost","Low",NA,85298319.6682413
"Hippoglossus stenolepis","Begining",NA,"Average","Future_Landings","Low",NA,25488.9622175716
"Hippoglossus stenolepis","Begining",NA,"Average","Future_Revenue","Low",NA,154243482.88968
"Hippoglossus stenolepis","Begining",NA,"Average","Profit","Low",NA,68945163.2214389
"Hippoglossus stenolepis","End Century",NA,"Average","Future_Cost","Low",NA,81145282.0199182
"Hippoglossus stenolepis","End Century",NA,"Average","Future_Landings","Low",NA,24247.9457459931
